targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,0.01147,0.000199136
1,0,39,0,0.0124775,0.00024387
0,1,7,0,0.014575,0.00033474
2,0,39,1,0.0129075,0.000266235
1,0,39,0,0.0115125,0.000233956
0,0,39,0,0.0100275,0.0001581
1,0,39,0,0.0112425,0.000184005
3,0,39,1,0.0155875,0.000483835
0,0,39,0,0.0138425,0.000301617
2,0,39,1,0.020145,0.000549683
1,0,39,0,0.020395,0.000560918
1,0,39,0,0.0114475,0.000207255
0,0,39,0,0.012635,0.000271647
2,0,39,1,0.0125575,0.000251697
0,0,39,0,0.014295,0.000453623
2,0,39,1,0.0098675,0.000127317
1,0,39,0,0.013775,0.000310654
0,0,39,0,0.01409,0.0003107
2,0,39,1,0.0133225,0.000292026
1,0,39,0,0.0120675,0.000221412
2,0,39,1,0.009385,0.000139862
2,0,39,1,0.00937,0.000135002
2,0,39,1,0.00877,0.000106612
1,0,39,0,0.0115275,0.000214168
1,0,39,0,0.01065,0.000168789
1,0,39,0,0.0088675,0.000105008
0,0,39,0,0.011865,0.000224803
0,0,39,0,0.0107025,0.000166606
0,0,39,0,0.01238,0.000230305
2,0,39,1,0.013645,0.00028938
0,0,39,0,0.01142,0.00019923
2,0,39,1,0.0140975,0.00031531
1,0,39,0,0.00758,5.9938e-05
1,0,39,0,0.009565,0.000133151
1,0,39,0,0.0107075,0.000173397
0,0,39,0,0.0096525,0.000138649
1,0,39,0,0.0076975,7.44278e-05
0,0,39,0,0.0087975,0.000104754
1,0,39,0,0.0101575,0.000162879
0,0,39,0,0.013055,0.000272489
2,0,39,1,0.0141825,0.000319823
0,0,39,0,0.0120375,0.000235238
0,0,39,0,0.0127825,0.000263802
0,0,39,0,0.0097275,0.000124517
2,0,39,1,0.0134425,0.000295155
1,0,39,0,0.0154,0.000364084
0,0,39,0,0.01486,0.000362272
1,0,39,0,0.0117775,0.000229344
2,0,39,1,0.0162725,0.000403537
0,0,39,0,0.009955,0.000139993
3,0,39,1,0.009565,0.000133255
3,0,39,1,0.008675,9.85055e-05
1,0,39,0,0.00977,0.000140157
2,0,39,1,0.0093875,0.000113085
1,0,39,0,0.0110475,0.000188331
0,0,39,0,0.0098525,0.000151128
3,0,39,1,0.010125,0.000161469
2,0,39,1,0.0134075,0.00027069
1,0,39,0,0.0152775,0.00036562
1,0,39,0,0.008765,0.000118369
0,0,39,0,0.008065,8.2447e-05
1,0,39,0,0.01008,0.000155883
0,0,39,0,0.009275,0.000125912
1,0,39,0,0.0085475,0.000106159
3,0,39,1,0.011025,0.000191554
0,0,39,0,0.01517,0.000379669
2,0,39,1,0.013905,0.000314811
0,0,39,0,0.0144225,0.000339608
1,0,39,0,0.01267,0.000262354
0,0,39,0,0.009235,0.00011849
0,0,39,0,0.011835,0.000220032
0,0,39,0,0.01155,0.000187241
1,0,39,0,0.0104975,0.000164966
2,0,39,1,0.0131,0.000263244
1,0,39,0,0.0136875,0.000299619
1,0,39,0,0.0118225,0.000228723
2,0,39,1,0.01089,0.000178931
1,0,39,0,0.0107325,0.000185201
0,0,39,0,0.0128725,0.000273536
1,0,39,0,0.010255,0.000161164
0,0,39,0,0.0087075,0.000119155
1,0,39,0,0.00803,8.63505e-05
2,0,39,1,0.008495,9.872e-05
1,0,39,0,0.007775,6.63085e-05
0,0,39,0,0.00924,0.000180227
2,0,39,1,0.007495,7.1527e-05
1,0,39,0,0.0083775,8.57098e-05
1,0,39,0,0.0073525,5.56203e-05
