targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,0,39,0,0.007715,8.7205e-05
0,0,39,0,0.00905,0.000120619
0,0,39,0,0.00846,9.825e-05
1,1,11,0,0.185,0.343512
0,0,39,0,0.00992,0.000164908
1,0,39,0,0.00962,0.000121098
0,0,39,0,0.0105475,0.0001679
3,0,39,1,0.010755,0.000171108
0,0,39,0,0.009725,0.00013567
0,0,39,0,0.010525,0.000179538
0,0,39,0,0.01123,0.000190596
0,0,39,0,0.01016,0.00019406
0,0,39,0,0.011715,0.000258719
0,1,11,0,0.0067,4.70583e-05
1,0,39,0,0.008185,9.15335e-05
1,0,39,0,0.00677,4.65155e-05
0,0,39,0,0.0091225,0.00013634
0,0,39,0,0.01101,0.000188776
2,0,39,1,0.0087275,0.000120696
0,0,39,0,0.009765,0.000148559
1,0,39,0,0.00867,0.000120782
2,0,39,1,0.00895,0.000124097
1,0,39,0,0.0081325,8.81428e-05
0,0,39,0,0.0089925,0.000125964
2,0,39,1,0.0086,0.000105206
0,0,39,0,0.01408,0.000294741
0,0,39,0,0.01408,0.000313871
0,1,22,0,0.0118174,0.000220168
0,1,31,0,0.0123812,0.000248221
1,0,39,0,0.008815,0.000121361
2,1,20,0,0.00780952,8.07133e-05
1,0,39,0,0.012525,0.000596144
1,0,39,0,0.0082925,9.71543e-05
1,1,23,0,0.00874167,0.000121709
3,0,39,1,0.0086775,0.00011257
0,0,39,0,0.0096875,0.000256782
2,0,39,1,0.006955,5.014e-05
1,0,39,0,0.006925,4.95055e-05
0,0,39,0,0.00667,4.56935e-05
1,0,39,0,0.00653,4.33755e-05
0,0,39,0,0.0065775,4.39277e-05
3,0,39,1,0.00677,4.736e-05
2,1,38,0,0.00649231,4.31118e-05
0,0,39,0,0.009575,9.45305e-05
0,0,39,0,0.011695,0.000204216
2,0,39,1,0.009585,9.4315e-05
0,0,39,0,0.00994,0.00010034
1,0,39,0,0.0101525,0.000103931
0,0,39,0,0.01496,0.00099613
0,0,39,0,0.010145,0.000103694
1,0,39,0,0.0102075,0.000106759
0,0,39,0,0.0098675,0.000115797
2,0,39,1,0.0699075,0.122535
0,0,39,0,0.010895,0.000125816
0,0,39,0,0.0110325,0.000166217
0,0,39,0,0.01092,0.000141711
0,0,39,0,0.0110225,0.00013226
2,0,39,1,0.011405,0.000157516
0,1,9,0,0.01969,0.000501535
0,0,39,0,0.0104175,0.000128594
1,0,39,0,0.0112725,0.00017502
0,0,39,0,0.01068,0.000130356
1,0,39,0,0.0113025,0.000133822
1,0,39,0,0.01185,0.000142472
1,0,39,0,0.0114725,0.000137373
0,0,39,0,0.01149,0.000135467
1,0,39,0,0.01157,0.00013762
0,0,39,0,0.010825,0.000137281
3,0,39,1,0.0128475,0.000222949
1,0,39,0,0.0121525,0.000150483
2,0,39,1,0.010825,0.000125399
0,0,39,0,0.0117775,0.000154067
0,0,39,0,0.01398,0.000349924
2,0,39,1,0.0160275,0.000820139
2,1,38,0,0.0107205,0.000135034
2,0,39,1,0.0119925,0.000197696
0,0,39,0,0.0103675,0.000115701
0,0,39,0,0.0097175,0.000102062
2,0,39,1,0.0093475,9.60523e-05
1,1,25,0,0.0108192,0.00013324
0,0,39,0,0.0116275,0.000141397
1,0,39,0,0.0116975,0.000141361
1,0,39,0,0.0119475,0.00014797
0,0,39,0,0.011535,0.000138447
2,0,39,1,0.0127825,0.000193522
0,0,39,0,0.0103825,0.000112316
1,0,39,0,0.0124,0.000168386
1,0,39,0,0.0116275,0.000140663
0,0,39,0,0.011825,0.000154584
0,0,39,0,0.01171,0.000139514
0,0,39,0,0.0114025,0.000131966
3,0,39,1,0.01128,0.000129314
0,0,39,0,0.0120075,0.000146669
0,0,39,0,0.011335,0.000130503
0,1,26,0,0.0114481,0.000132363
1,0,39,0,0.010805,0.00012492
2,0,39,1,0.011955,0.000149088
1,0,39,0,0.0128375,0.000243421
0,0,39,0,0.01343,0.000306555
2,0,39,1,0.012815,0.000199837
0,0,39,0,0.012215,0.000177091
0,1,31,0,0.0120437,0.000149171
1,0,39,0,0.0122875,0.000155652
1,1,38,0,0.0126846,0.000164259
0,0,39,0,0.011215,0.000127799
2,0,39,1,0.011145,0.000136545
0,0,39,0,0.0136725,0.000290116
2,0,39,1,0.01139,0.000133265
0,0,39,0,0.0112325,0.00012871
0,0,39,0,0.0116225,0.000137832
0,0,39,0,0.01213,0.000155782
0,0,39,0,0.0147625,0.000219163
1,0,39,0,0.0149525,0.000223736
1,0,39,0,0.014505,0.000211525
1,0,39,0,0.0148625,0.000220932
2,0,39,1,0.014905,0.000222213
